job_id,skill
train-894,excel
train-896,sql
train-896,project management
train-897,tableau
train-903,project management
train-904,data analysis
train-907,communication
train-909,sql
train-910,excel
train-911,excel
train-914,sql
train-914,data analysis
train-917,python
train-917,machine learning
train-917,data analysis
train-919,project management
train-925,project management
train-929,sql
train-930,machine learning
train-934,tableau
train-934,data analysis
train-937,javascript
train-941,sql
train-941,azure
train-942,python
train-942,machine learning
train-947,javascript
train-949,machine learning
train-951,sql
train-951,java
train-952,communication
train-954,project management
train-956,sql
train-959,java
train-960,java
train-960,git
train-963,javascript
train-966,power bi
train-968,python
train-968,java
train-968,machine learning
train-977,java
train-980,sql
train-981,sql
train-981,azure
train-982,project management
train-984,sql
train-985,data analysis
train-987,java
train-989,sql
train-989,java
train-991,sql
train-991,machine learning
train-992,excel
train-993,sql
train-999,data analysis
train-1003,sql
train-1005,sql
train-1005,data analysis
train-1007,python
train-1007,machine learning
train-1007,numpy
train-1014,data analysis
train-1015,java
train-1015,javascript
train-1015,react
train-1017,project management
train-1020,project management
train-1022,python
train-1022,node.js
train-1022,django
train-1023,communication
train-1025,javascript
train-1026,machine learning
train-1027,java
train-1029,node.js
train-1029,git
train-1031,communication
train-1032,excel
train-1040,data analysis
train-1044,java
train-1047,project management
train-1048,sql
train-1048,tableau
train-1048,data analysis
train-1050,python
train-1053,sql
train-1053,communication
train-1056,sql
train-1056,excel
train-1056,tableau
train-1066,machine learning
train-1068,communication
train-1069,python
train-1071,java
train-1073,data analysis
train-1075,java
train-1075,javascript
train-1075,git
train-1078,python
train-1078,sql
train-1078,aws
train-1078,machine learning
train-1087,machine learning
train-1090,sql
train-1093,sql
train-1094,javascript
train-1094,node.js
train-1094,azure
train-1094,git
train-1098,sql
train-1099,java
train-1099,node.js
train-1100,python
train-1100,machine learning
train-1101,python
train-1101,sql
train-1101,java
train-1101,django
train-1101,machine learning
train-1105,communication
train-1106,python
train-1108,aws
train-1108,azure
train-1112,communication
train-1115,java
train-1119,machine learning
train-1122,machine learning
train-1126,excel
train-1126,communication
train-1126,project management
train-1129,project management
train-1131,java
train-1136,java
train-1136,docker
train-1137,excel
train-1145,machine learning
train-1148,java
train-1149,java
train-1153,communication
train-1159,java
train-1161,excel
train-1161,machine learning
train-1165,communication
train-1166,sql
train-1166,azure
train-1169,communication
train-1171,python
train-1171,machine learning
train-1174,python
train-1174,java
train-1175,python
train-1175,data analysis
train-1178,python
train-1178,sql
train-1178,excel
train-1180,python
train-1180,java
train-1182,sql
train-1185,machine learning
train-1188,python
train-1188,data analysis
train-1200,communication
train-1205,java
train-1208,javascript
train-1208,react
train-1209,sql
train-1209,excel
train-1209,data analysis
train-1210,excel
train-1210,data analysis
train-1212,python
train-1216,communication
train-1217,aws
train-1219,communication
train-1237,excel
train-1237,communication
train-1243,excel
train-1243,data analysis
train-1246,java
train-1248,sql
train-1248,azure
train-1249,project management
train-1250,git
train-1251,project management
train-1252,project management
train-1253,python
train-1253,machine learning
train-1259,java
train-1260,python
train-1275,java
train-1275,communication
train-1278,python
train-1278,java
train-1278,machine learning
train-1287,java
train-1290,javascript
train-1291,project management
train-1298,data analysis
train-1301,communication
train-1303,tableau
train-1304,communication
train-1305,sql
train-1309,communication
train-1316,sql
train-1318,sql
train-1318,communication
train-1321,communication
train-1325,power bi
train-1327,excel
train-1327,communication
train-1330,java
train-1334,sql
train-1337,sql
train-1337,communication
train-1351,python
train-1351,sql
train-1351,machine learning
train-1357,project management
train-1358,python
train-1361,communication
train-1363,java
train-1364,project management
train-1372,java
train-1381,java
train-1381,javascript
train-1382,communication
train-1384,sql
train-1384,power bi
train-1384,tableau
train-1387,python
train-1387,sql
train-1387,machine learning
train-1389,machine learning
train-1391,java
train-1391,javascript
train-1392,python
train-1392,machine learning
train-1393,java
train-1394,sql
train-1399,python
train-1399,machine learning
train-1400,project management
train-1401,project management
train-1403,javascript
train-1404,sql
train-1404,data analysis
train-1406,communication
train-1407,project management
train-1411,python
train-1411,sql
train-1411,machine learning
train-1414,python
train-1414,sql
train-1414,communication
train-1421,sql
train-1423,python
train-1429,sql
train-1429,java
train-1429,javascript
train-1434,java
train-1434,javascript
train-1434,git
train-1435,sql
train-1435,azure
train-1437,sql
train-1437,data analysis
train-1440,python
train-1440,sql
train-1440,java
train-1440,javascript
train-1442,machine learning
train-1445,communication
train-1447,sql
train-1450,python
train-1455,node.js
train-1457,excel
train-1457,machine learning
train-1457,data analysis
train-1458,python
train-1462,python
train-1462,machine learning
train-1462,pandas
train-1462,numpy
train-1463,python
train-1466,project management
train-1474,javascript
train-1474,react
train-1479,sql
train-1485,python
train-1485,sql
train-1485,tableau
train-1488,sql
train-1489,excel
train-1493,python
train-1493,machine learning
train-1496,sql
train-1499,machine learning
train-1502,communication
train-1504,communication
train-1506,communication
train-1509,python
train-1514,sql
train-1514,excel
train-1514,java
train-1521,sql
train-1529,java
train-1534,machine learning
train-1537,python
train-1537,aws
train-1537,azure
train-1543,python
train-1543,sql
train-1544,java
train-1546,communication
train-1552,python
train-1552,machine learning
train-1554,project management
train-1557,machine learning
train-1558,communication
train-1560,machine learning
train-1567,communication
train-1569,sql
train-1569,java
train-1569,node.js
train-1578,excel
train-1579,python
train-1579,java
train-1579,machine learning
train-1580,java
train-1581,sql
train-1581,power bi
train-1583,excel
train-1584,data analysis
train-1586,sql
train-1586,java
train-1589,project management
train-1590,python
train-1590,machine learning
train-1594,sql
train-1594,excel
train-1594,tableau
train-1603,sql
train-1603,excel
train-1605,sql
train-1612,sql
train-1612,javascript
train-1612,node.js
train-1612,azure
train-1618,sql
train-1620,sql
train-1622,project management
train-1627,java
train-1627,docker
train-1628,data analysis
train-1638,java
train-1640,tableau
train-1640,project management
train-1647,sql
train-1651,communication
train-1654,communication
train-1656,sql
train-1663,sql
train-1664,sql
train-1664,data analysis
train-1667,python
train-1667,machine learning
train-1668,sql
train-1668,excel
train-1668,tableau
train-1668,project management
train-1669,sql
train-1671,python
train-1671,java
train-1671,machine learning
train-1673,java
train-1676,machine learning
train-1678,python
train-1679,javascript
train-1679,react
